"GB_Accession" "Start_of_CDS" "End_of_CDS" "Type" "Product" "Protein_ID" "Gene"
"1...281" "MG333694.1" 1 471 "gene" "ubiquitin extension protein 1" "AXN93983.1" "UEP1"
"1...282" "LC409261.1" 1 1101 "gene" "geranylgeranyl pyrophosphate synthase 1" NA "NbGGPPS1"
"1...283" "LC409060.1" 1 1281 "gene" "calreticulin 3" NA "CRT3a2"
"1...284" "LC409059.1" 1 1272 "gene" "calreticulin 3" NA "CRT3a1"
"1...285" "MG560271.1" 1 636 "CDS" "chloroplast Rubisco accumulation factor 2" "AXA12010.1" "NbRAF2"
"1...286" "MF426030.1" 1 711 "gene" "mRNA export-associated protein" "AWM30655.1" "ALY2085"
"1...287" "MH298320.1" 1 1008 "gene" "NRP1" "AWK67735.1" "nrp1"
"1...288" "MG010654.1" 1 1737 "gene" "membrane-localized LRR receptor-like protein" "AUT14026.1" "RXEGL2"
"1...289" "MG010653.1" 1 3099 "gene" "membrane-localized LRR receptor-like protein" "AUT14025.1" "RXEGL1"
"1...290" "MG010652.1" 1 3072 "gene" "membrane-localized LRR receptor-like protein" "AUT14024.1" "RXEG1"
"1...291" "MF033266.1" 1 939 "CDS" "NAC1 transcription factor" "ASS36246.1" "NbNAC1"
"1...292" "KY563646.1" 1 1362 "CDS" "malonyltransferase" "AQQ82604.1" "NbMaT1"
"1...293" "MF773579.1" 1 3921 "CDS" "Roq1" "ATD14363.1" "NLR protein involved in the perception of the Xanthomonas effector protein XopQ."
"1...294" "KX923320.1" 1 2580 "CDS" "MAP kinase phosphatase" "ATA66956.1" "dual specificity phosphatase"
"1...295" "KX452093.1" 1 1173 "gene" "S-adenosylmethionine synthase 3" "ASP44115.1" "SAMs"
"1...296" "KX452092.1" 1 1173 "gene" "S-adenosylmethionine synthase 2" "ASP44114.1" "SAMs"
"1...297" "KX452091.1" 1 1173 "gene" "S-adenosylmethionine synthase 1" "ASP44113.1" "SAMs"
"1...298" "LC222288.1" 1 1773 "gene" "isochorismate synthase" NA "NbICS"
"1...299" "MF346700.1" 1 717 "CDS" "putative plasma membrane-associated cation-binding protein 1" "ASW15993.1" NA
"1...300" "MF346699.1" 1 966 "CDS" "plastid carbonic anhydrase" "ASW15992.1" NA
"1...301" "MF346698.1" 1 2907 "CDS" "elicitor-inducible leucine-rich repeats receptor-like protein" "ASW15991.1" NA
"1...302" "MF374795.1" 1 471 "gene" "ubiquitin conjugating enzyme 1" "ASU50896.1" "UBC1"
"1...303" "KU726877.1" 1 480 "CDS" "eukaryotic initination factor 5a" "AOF39400.1" NA
"1...304" "KU726873.1" 1 444 "CDS" "histone 2b" "AOF39396.1" NA
"1...305" "KU726872.1" 1 462 "CDS" "ubiquitin conjugating enzyme 2" "AOF39395.1" NA
"1...306" "KU726871.1" 1 2544 "CDS" "histome monoubiquitnation 1" "AOF39394.1" NA
"1...307" "LC314308.1" 1 666 "gene" "cysteine and histidine-rich domain-containing protein" NA "RAR1"
"1...308" "LC314307.1" 1 672 "gene" "cysteine and histidine-rich domain-containing protein" NA "RAR1"
"1...309" "LC314287.1" 1 1047 "gene" "suppressor of G2 allele of SKP1" NA "SGT1"
"1...310" "LC314286.1" 1 1113 "gene" "suppressor of G2 allele of SKP1" NA "SGT1"
"1...311" "LC314285.1" 1 1113 "gene" "suppressor of G2 allele of SKP1" NA "SGT1"
"1...312" "LC314272.1" 1 2100 "gene" "heat shock protein 90" NA "HSP90"
"1...313" "LT883170.1" 1 2301 "gene" "RNA" NA "NbPPA1.1"
"1...314" "LT883169.1" 1 2298 "gene" "RNA" NA "NbPPA1.2"
"1...315" "KX384606.1" 1 1182 "gene" "S-adenosyl methionine synthase 1" "ARQ79710.1" "SAMs1"
"1...316" "KY852491.1" 1 1107 "gene" "basic helix-loop-helix" "ARM20192.1" "CHL1"
"1...317" "KX912913.1" 1 2335 "gene" NA NA "HSP70"
"2...318" "KX912913.1" 193 2142 "CDS" "HSP70" "ARH56399.1" NA
"1...319" "LC156099.1" 1 1566 "gene" "calcium dependent protein kinase isoform 2" NA "NbCDPKiso2"
"1...320" "LC156098.1" 1 2817 "gene" "respiratory burst oxidase homolog protein B" NA "NbRBOHB"
"1...321" "KX369399.1" 1 2562 "CDS" "autophagy protein ATG9" "APT43519.1" "NbATG9"
"1...322" "KX369398.1" 1 2142 "CDS" "autophagy protein ATG7" "APT43518.1" "NbATG7"
"1...323" "KX369397.1" 1 1116 "CDS" "autophagy protein ATG5" "APT43517.1" "NbATG5"
"1...324" "KX369396.1" 1 960 "CDS" "autophagy protein ATG3" "APT43516.1" "NbATG3"
"1...325" "KX369401.1" 1 363 "CDS" "autophagy protein ATG8i" "APT43515.1" "NbATG8i"
"1...326" "KX369400.1" 1 411 "CDS" "autophagy protein ATG8d" "APT43514.1" "NbATG8d"
"1...327" "LT797576.1" 5 1066 "gene" "10xHistagTEV XIP1;1beta" NA "10xHistagTEV XIP1;1beta"
"2...328" "LT797576.1" 11 40 "misc_feature" NA NA NA
"3...329" "LT797576.1" 62 82 "misc_feature" NA NA NA
"4...330" "LT797576.1" 89 1066 "misc_feature" NA NA NA
"1...331" "LT797575.1" 5 1063 "gene" "10xHistagTEV XIP1;1alpha" NA "10xHistagTEV XIP1;1alpha"
"2...332" "LT797575.1" 11 40 "misc_feature" NA NA NA
"3...333" "LT797575.1" 62 82 "misc_feature" NA NA NA
"4...334" "LT797575.1" 89 1063 "misc_feature" NA NA NA
"1...335" "KY464890.1" 1621 1800 "regulatory" NA NA NA
"2...336" "KY464890.1" 1857 2651 "gene" "NptII" "AQT31662.1" "aph(3')-II (or nptII)"
"3...337" "KY464890.1" 3041 3293 "regulatory" NA NA NA
"4...338" "KY464890.1" 3878 3908 "regulatory" NA NA NA
"5...339" "KY464890.1" 3916 3932 "protein_bind" NA NA NA
"6...340" "KY464890.1" 4480 4825 "regulatory" NA NA NA
"7...341" "KY464890.1" 4846 4855 "regulatory" NA NA NA
"8...342" "KY464890.1" 4856 4859 "misc_feature" NA NA NA
"9...343" "KY464890.1" 4860 5651 "CDS" "modified green fluorescent protein mGFP5-ER" "AQT31663.1" "containing one nucleotide variation resulting in an H46Y amino acid change"
"10...344" "KY464890.1" 5668 5920 "regulatory" NA NA NA
"11...345" "KY464890.1" 6126 9366 "mobile_element" NA NA NA
"12" "KY464890.1" 6126 6206 "repeat_region" NA NA NA
"13" "KY464890.1" 9044 6159 "gene" "TnpA" "AQT31664.1" "tnpA"
"14" "KY464890.1" 9239 9364 "gene" "TnpR" "AQT31665.1" "tnpR"
"1...349" "KX192074.1" 1 1593 "gene" "beta-hexosaminidase 3" "ANW86205.1" "HEXO3"
"1...350" "KX192073.1" 1 1626 "gene" "beta-hexosaminidase 1" "ANW86204.1" "HEXO1"
"1...351" "KX375797.1" 1 1068 "CDS" "papain-like cysteine proteinase 7" "AQQ13386.1" "CysP7"
"1...352" "KX375796.1" 1 1398 "CDS" "papain-like cysteine proteinase 6" "AQQ13385.1" "CysP6"
"1...353" "KX990270.1" 1 1364 "gene" NA NA "ORE1"
"2...354" "KX990270.1" 101 1084 "CDS" "oresara 1-like protein" "AQM49954.1" NA
"1...355" "KX990269.1" 1 877 "gene" NA NA "SAG12"
"2...356" "KX990269.1" 42 650 "CDS" "senescence-associated protein 12" "AQM49953.1" NA
"1...357" "KX990268.1" 1 982 "gene" NA NA "SEN4"
"2...358" "KX990268.1" 47 856 "CDS" "senescence 4-like protein" "AQM49952.1" NA
"1...359" "KX272620.1" 1 1566 "CDS" "TOM1-like protein 2" "APY20269.1" NA
"1...360" "KX272619.1" 1 2805 "gene" "AvrPto-interacting protein 1" "APY20268.1" "API1"
"1...361" "KX272618.1" 1 2844 "gene" "leucine-rich repeat receptor-like protein kinase 1" "APY20267.1" "RLK1"
"1...362" "KX272617.1" 1 789 "gene" "RPM1-interacting protein 4" "APY20266.1" "RIN4"
"1...363" "KX272616.1" 1 1194 "gene" "serine/threonine-protein kinase HT1" "APY20265.1" "HT1"
"1...364" "AY974606.2" 1 528 "CDS" "chloroplast carbonic anhydrase" "AAY17069.2" NA
"1...365" "FN687760.1" 1 877 "gene" NA NA "cdm"
"2...366" "FN687760.1" 1 28 "5'UTR" NA NA NA
"3...367" "FN687760.1" 28 633 "CDS" "Nb cell deth marker" NA NA
"4...368" "FN687760.1" 633 877 "3'UTR" NA NA NA
"1...369" "EU862549.1" 67 829 "CDS" "PB1 domain-containing protein" "ACJ54183.1" "contains InterPro domain octicosapeptide/Phox/Bemp1 (InterPro: IPR000270)"
"1...370" "EU862548.1" 1 585 "CDS" "PPIase domain-containing protein" "ACJ54182.1" "contains InterPro domain peptidyl-prolyl cis-trans isomerase, cyclophilin-type (InterPro: IPR002130)"
"1...371" "EU849598.1" 1 576 "CDS" "subtilisin-like protein" "ACJ26761.1" "contains InterPro domain peptidase S8 subtilisin-related IPR015500"
"1...372" "FJ222442.1" 1 637 "gene" "S-adenosyl homocysteine hydrolase" "ACI31554.1" "SAHH"
"1...373" "FJ222441.1" 1 682 "gene" "MET1" "ACI31553.1" "MET1"
"1...374" "EU679344.1" 1 754 "gene" NA NA "TFIIIA"
"2...375" "EU679344.1" 1 84 "mRNA" NA NA NA
"3...376" "EU679344.1" 218 395 NA NA NA NA
"4...377" "EU679344.1" 547 754 NA "TFIIIA protein truncated variant 1" NA NA
"5...378" "EU679344.1" 218 300 NA "TFIIIA protein truncated variant 2" NA NA
"6...379" "EU679344.1" 218 232 NA "TFIIIA protein truncated variant 1" "ACG60700.1" "alternatively spliced"
"7...380" "EU679344.1" 254 383 "rRNA" "5S ribosomal RNA" NA "-"
"1...381" "EU700053.1" 1 1009 "gene" NA NA "EH1.1"
"2...382" "EU700053.1" 1 799 "CDS" "epoxide hydrolase" "ACD86402.1" "alpha beta hydrolase"
"1...383" "AF479624.1" 1 675 "CDS" "Prf-like protein" "AAL85346.1" "required for resistance against Pseudomonas syringae AvrPto"
"1...384" "AF396697.1" 1 342 "CDS" "s/s2" "AAL82195.1" NA
"1...385" "JN234775.1" 1 383 "CDS" "cyclin A1" "AEV43294.1" "CYCA1"
"1...386" "JN234774.1" 1 639 "CDS" "cyclin A2" "AEV43293.1" "CYCA2"
"1...387" "JN234773.1" 1 276 "CDS" "B2-type cyclin dependent kinase" "AEV43292.1" "CDKB2"
"1...388" "JF903809.1" 1 421 "gene" "pyrroline-5-carboxylate reductase" "AEP83832.1" "P5CR"
"1...389" "HQ245097.1" 1 1110 "CDS" "hydroxycinnamoyl transferase" "AEO00530.1" "NbHCT-1"
"1...390" "JN247448.1" 1 483 "CDS" "pathogenesis-related protein 1" "AEL99925.1" "PR-1"
"1...391" "HQ844225.1" 1 340 "gene" "sucrose phosphate synthase A" "AEG74025.1" "spsA"
"1...392" "JF815524.1" 1 596 "gene" "argonaute 2" "AEE81036.1" "AGO2-1"
"1...393" "HQ005418.1" 1 369 "CDS" "GLO2 MADS-box transcription factor" "ADM88563.1" NA
"1...394" "HQ005417.1" 1 556 "CDS" "GLO1 MADS-box transcription factor" "ADM88562.1" NA
"1...395" "EU257505.1" 1 1368 "CDS" "isochorismate synthase" "ABX55938.1" "NbICS"
"1...396" "EU076714.1" 1 162 "CDS" "flower-specific defensin" "ABU62754.1" NA
"1...397" "DQ437636.1" 1 210 "CDS" "GLOBOSA" "ABE11656.1" "DNA-binding transcription factor"
"1...398" "DQ437635.1" 1 450 "CDS" "DEFICIENS" "ABE11655.1" "MADS-domain transcription factor"
"1...399" "DQ437634.1" 1 401 "CDS" "WUSCHEL" "ABE11654.1" "transcription factor"
"1...400" "DQ437633.1" 1 404 "CDS" "AGAMOUS" "ABE11653.1" "MADS-domain transcription factor"
"1...401" "DQ389173.1" 1 972 "CDS" "metacaspase type II" "ABD47740.1" "NbMCA1"
"1...402" "DQ374449.1" 1 309 "gene" "disease-resistance protein-like" "ABD37669.1" "Pth2"
"1...403" "DQ374448.1" 1 303 "gene" "disease resistance protein-like" "ABD37668.1" "Pth1"
"1...404" "DQ226996.1" 1 411 "CDS" "26S proteasome subunit alpha 4" "ABB18117.1" "NBalpha4"
"1...405" "DQ226995.1" 1 689 "CDS" "RPN8" "ABB18116.1" "NbRPN8"
"1...406" "DQ226994.1" 1 1078 "CDS" "RPN9" "ABB18115.1" "NbRPN9"
"1...407" "DQ084024.1" 1 972 "CDS" "metacaspase type II" "AAZ39606.1" "NbMCA1"
"1...408" "DQ084023.1" 21 1086 "CDS" "cysteine proteinase glycinain type" "AAZ32411.1" "NbCYP2"
"1...409" "DQ093875.1" 1 516 "CDS" "putative RNA-dependent RNA polymerase SDE1/SGS2/RDR6" "AAZ04410.1" NA
"1...410" "AY974608.1" 1 537 "CDS" "chloroplast carbonic anhydrase" "AAY17071.1" NA
"1...411" "AY974607.1" 1 534 "CDS" "chloroplast carbonic anhydrase" "AAY17070.1" NA
"1...412" "AY905606.1" 1 814 "CDS" "ACC oxidase" "AAX97426.1" "NbACO1"
"1...413" "AY952374.1" 1 850 "gene" NA NA "psbP"
"2...414" "AY952374.1" 1 786 "CDS" "chloroplast photosynthetic oxygen-evolving protein 23 kDa subunit" "AAX53162.1" "OEC"
"1...415" "AY943856.1" 1 1638 "CDS" "non-intrinsic ABC protein" "AAX36074.1" "NbNAP1"
"1...416" "AY919676.1" 1 664 "gene" "SNF1-related kinase" "AAX12442.1" "SnRK1"
"1...417" "AY701319.1" 1 1265 "CDS" "autophagy protein ATG7" "AAW80630.1" NA
"1...418" "AY701318.1" 1 483 "CDS" "autophagy protein ATG3" "AAW80629.1" NA
"1...419" "AY741533.1" 1 594 "gene" "adenosine kinase" "AAU93700.1" "ADK"
"1...420" "AY594294.1" 1 431 "CDS" "truncated actin 1" "AAT72827.1" "act1"
"2...421" "AY594294.1" 427 449 "mobile_element" NA NA NA
"1...422" "AY547498.1" 1 354 "gene" "WRKY1" "AAT12506.1" "WRKY1"
"1...423" "AY547496.1" 1 227 "gene" "WRKY3" "AAT12505.1" "WRKY3"
"1...424" "AY577817.1" 1 551 "CDS" "TM6 protein" "AAS88996.1" NA
"1...425" "AY497305.1" 1 276 "CDS" "isopentenyl/dimethylallyl diphosphate isomerase" "AAS75819.1" NA
"1...426" "AY497304.1" 1 500 "CDS" "isopentenyl/dimethylallyl diphosphate synthase" "AAS75818.1" "IspH (LytB) protein"
"1...427" "AY497303.1" 1 804 "CDS" "(E)-4-hydroxy-3-methylbut-2-enyl diphosphate synthase" "AAS75817.1" "IspG (GcpE) protein"
"1...428" "AY547497.1" 1 508 "CDS" "CTR1" "AAS55707.1" "NbCTR1"
"1...429" "AY438026.1" 1 496 "CDS" "RAR1-like protein" "AAR21294.1" NA
"1...430" "AY206004.1" 1 661 "CDS" "translation elongation factor 1 alpha" "AAP04393.1" "NbEF-1a"
"1...431" "AY321104.1" 1 726 "CDS" "C-4 sterol methyl oxidase 2" "AAQ83692.1" "sterol 4-alpha-methyl oxidase"
"1...432" "AY321103.1" 1 732 "CDS" "C-4 sterol methyl oxidase 1" "AAQ83691.1" "sterol 4-alpha-methyl oxidase"
"1...433" "AY325822.1" 1 573 "gene" NA NA "NPP5-2"
"2...434" "AY325822.1" 1 213 "5'UTR" NA NA NA
"3...435" "AY325822.1" 214 573 "CDS" "protein phosphatase 2A catalytic subunit" "AAQ67230.1" "NbNPP5-2"
"1...436" "AY325821.1" 1 548 "gene" NA NA "NPP5-1"
"2...437" "AY325821.1" 1 189 "5'UTR" NA NA NA
"3...438" "AY325821.1" 190 548 "CDS" "protein phosphatase 2A catalytic subunit" "AAQ67229.1" "NbNPP5-1"
"1...439" "AY325820.1" 1 557 "gene" NA NA "NPP4-2"
"2...440" "AY325820.1" 1 277 "5'UTR" NA NA NA
"3...441" "AY325820.1" 278 557 "CDS" "protein phosphatase 2A catalytic subunit" "AAQ67228.1" "NbNPP4-1"
"1...442" "AY325819.1" 1 634 "gene" NA NA "NPP4-1"
"2...443" "AY325819.1" 1 307 "5'UTR" NA NA NA
"3...444" "AY325819.1" 308 634 "CDS" "protein phosphatase 2A catalytic subunit" "AAQ67227.1" "NbNPP4-1"
"1...445" "HQ438093.1" 1 1162 "gene" NA NA "SERK1"
"2...446" "HQ438093.1" 1 1055 "CDS" "somatic embryogenesis receptor kinase 1" "ADW65656.1" NA
"3...447" "HQ438093.1" 1056 1162 "3'UTR" NA NA NA
"1...448" "HQ450764.1" 52 1497 "CDS" "phosphoglycerate kinase" "ADR71054.1" "PGK"
"1...449" "GQ495614.1" 1 1386 "gene" "1-hydroxy-2-methyl-butenyl 4-diphosphate reductase" "ADM83430.1" "IspH1"
"1...450" "GQ477380.1" 1 819 "gene" NA NA "HBP1"
"2...451" "GQ477380.1" 3 819 "CDS" "harpin binding protein 1" "ADM18295.1" NA
"1...452" "GQ855284.1" 1 819 "CDS" "CRT1" "ADG03105.1" "compromised recognition of TCV"
"1...453" "GU968906.1" 1 206 "gene" NA NA "CpEF-TuB"
"2...454" "GU968906.1" 1 117 "CDS" "chloroplast elongation factor TuB" "ADF43794.1" "elongation factor"
"3...455" "GU968906.1" 118 206 "3'UTR" NA NA NA
"1...456" "GU361621.1" 1 2574 "gene" NA NA "NbCA1"
"2...457" "GU361621.1" 1 603 "regulatory" NA NA NA
"3...458" "GU361621.1" 1239 1410 "mRNA" NA NA NA
"4...459" "GU361621.1" 1774 2072 NA NA NA NA
"5...460" "GU361621.1" 2272 2574 NA "calcium ATPase" "ADD91581.1" "P-type II ATPase"
"1...461" "GU575116.1" 1 418 "CDS" "HSP70-like protein" "ADD69959.1" NA
"1...462" "GQ845021.1" 1 2100 "CDS" "molecular chaperone Hsp90-3" "ACX31585.1" "heat shock protein 90"
"1...463" "GQ354820.1" 1 580 "gene" "phytophthora-inhibited protease 1-like protein" "ACV52591.1" "PIP1"
"1...464" "GQ354818.1" 1 527 "gene" "benzoquinone reductase" "ACV52589.1" "BQR"
"1...465" "GQ354817.1" 1 480 "gene" "protein disulfide isomerase" "ACV52588.1" "PDI"
"1...466" "GQ354815.1" 1 526 "gene" "proteasome subunit beta type-6 precursor" "ACV52586.1" "Pb"
"1...467" "GQ354813.1" 1 439 "gene" "phospholipid hydroperoxide glutathione peroxidase" "ACV52584.1" "PHGPx"
"1...468" "GQ354811.1" 1 481 "gene" "thiazole biosynthetic enzyme" "ACV52582.1" "THI"
"1...469" "GQ354810.1" 1 300 "gene" "ASR" "ACV52581.1" "Asr"
"1...470" "GQ354809.1" 1 309 "gene" "endopeptidase inhibitor" "ACV52580.1" "Mir"
"1...471" "GQ354808.1" 1 525 "gene" "asparagine synthetase" "ACV52579.1" "Asn"
"1...472" "GQ354807.1" 1 420 "gene" "late embryogenesis-like protein" "ACV52578.1" "Lea"
"1...473" "GQ354806.1" 1 541 "gene" "subtilisin-like serine protease" "ACV52577.1" "P69"
"1...474" "GQ354805.1" 1 394 "gene" "ras-related GTP-binding protein" "ACV52576.1" "Ras"
"1...475" "GQ354804.1" 1 557 "gene" "MAP kinase" "ACV52575.1" "F4"
"1...476" "FJ858876.1" 1 1656 "CDS" "BTB/POZ protein" "ACQ59090.1" "similar to AtPOB1"
"1...477" "FJ440631.1" 1 2079 "CDS" "sulfite reductase" "ACN82434.1" "NbSIR"
"1...478" "AF494086.1" 1 527 "CDS" "CSN3" "AAO85512.1" NA
"1...479" "AY179605.1" 1 413 "gene" "actin" "AAN73054.1" NA
"1...480" "AF486816.2" 1 1025 "gene" NA NA "PCNA"
"2...481" "AF486816.2" 1 912 "regulatory" NA NA NA
"3...482" "AF486816.2" 913 1025 "mRNA" "proliferating cell nuclear antigen" NA NA
"4...483" "AF486816.2" 1023 1025 "CDS" "proliferating cell nuclear antigen" "AAL93204.1" NA
"1...484" "AF516181.1" 1 634 "gene" "SGT1-like protein" "AAM94380.1" "SGT1.2"
"1...485" "AF516180.1" 1 634 "gene" "SGT1-like protein" "AAM94379.1" "SGT1.1"
"1...486" "EF514216.1" 1 235 "gene" "xyloglucan-specific endo-beta-1,4-glucanase inhibitor protein" "ABS30428.1" "XEGIP2"
"1...487" "EF417987.1" 52 1 "mRNA" "flagellin-sensitive protein 2" "ABN71365.1" "NbFls2"
"1...488" "DQ867120.1" 1 861 "gene" NA NA "SYP132"
"2...489" "DQ867120.1" 34 861 "CDS" "syntaxin" "ABI93942.1" "similar to Arabidopsis thaliana SYP132"
"1...490" "AF233891.1" 1 399 "gene" "cellulose synthase" "AAG21096.1" "CesA-1a"
"1...491" "KX457971.1" 1 2439 "gene" "bZIP28 protein" "ANQ38585.1" "bZIP28"
"1...492" "KX457970.1" 1 1274 "gene" NA NA "NAC089"
"2...493" "KX457970.1" 21 1250 "CDS" "endoplasmic reticulum transcription factor" "ANQ38584.1" NA
"1...494" "KU212214.1" 1 1518 "CDS" "papain-like cysteine proteinase" "ANJ02840.1" "CP14"
"1...495" "KX247369.1" 1 1242 "gene" "ATP-dependent RNA helicase eIF4a" "ANG84008.1" "IF4a"
"1...496" "KX120977.1" 1 2373 "gene" "phosphoinositide 3-kinase" "ANG60478.1" "PI3K"
"1...497" "KX120976.1" 1 360 "gene" "autophagy-related protein 8a" "ANG60477.1" "ATG8a"
"1...498" "KU561374.1" 1 936 "CDS" "autophagy protein 9" "ANG08859.1" "NbATG9"
"1...499" "KU561373.1" 1 1146 "CDS" "autophagy protein 2" "ANG08858.1" "NbATG2"
"1...500" "KU561372.1" 1 327 "CDS" "autophagy protein 8f" "ANG08857.1" "NbATG8f"
"1...501" "KU561371.1" 1 651 "CDS" "VPS15" "ANG08856.1" "NbVPS15"
"1...502" "KU234094.1" 1 463 "mRNA" "nicotine N-demethylase" "ANF07088.1" "cytochrome P450 82E"
"1...503" "KX139065.1" 1 246 "CDS" "SAUR14" "ANF06981.1" NA
"1...504" "KX139064.1" 1 312 "CDS" "gibberellin-regulated protein 6" "ANF06980.1" NA
"1...505" "KX139063.1" 1 447 "CDS" "gibberellin-regulated protein 14" "ANF06979.1" NA
"1...506" "KX139062.1" 1 612 "CDS" "pathogen-like protein" "ANF06978.1" NA
"1...507" "KX139061.1" 1 237 "CDS" "defensin-like protein 2" "ANF06977.1" NA
"1...508" "KX139060.1" 1 264 "CDS" "defensin-like protein 1" "ANF06976.1" NA
"1...509" "KR296788.1" 1 447 "CDS" "ubiquitin-conjugating enzyme E2" "ANE23920.1" "NbUBC3 catalytic (UBCc) domain"
"1...510" "KX098601.1" 1 864 "CDS" "transcription factor IIIA 7ZF" "ANC33508.1" NA
"1...511" "KX098600.1" 1 1119 "CDS" "transcription factor IIIA 9ZF" "ANC33507.1" NA
"1...512" "KR082148.1" 1 1698 "CDS" "GAI1" "AMO02501.1" "similar to DELLA protein GAI"
"1...513" "KR082147.1" 1 822 "CDS" "XTH15.2" "AMO02500.1" "similar to Arabidopsis brassinosteroid-regulated protein BRU1"
"1...514" "KR082146.1" 1 345 "CDS" "LTP3.2" "AMO02499.1" "similar to Arabidopsis non-specific lipid-transfer protein LTP3"
"1...515" "KR082145.1" 1 1374 "CDS" "PID" "AMO02498.1" "similar to Arabidopsis pinoid"
"1...516" "KU170188.1" 1 1293 "CDS" "histone deacetylase 6" "ANB27803.1" NA
"1...517" "KP316402.1" 1 1356 "gene" "alpha-tubulin 6" "ALH22047.1" "TUA6"
"1...518" "KP941063.1" 78 1877 "CDS" "GRETCHEN HAGEN 3.6" "ALB35086.1" "NbGH3.6"
"1...519" "JX040473.1" 1 1113 "gene" "fertilization independent endosperm 1 protein" "AFV15391.1" "FIE1"
"1...520" "KT726860.1" 1 2103 "CDS" "heat shock protein 90-3" "ALD51962.1" "NbHsp90-3"
"1...521" "KT726859.1" 1 2100 "CDS" "heat shock protein 90-2" "ALD51961.1" "NbHsp90-2"
"1...522" "KT726858.1" 1 2100 "CDS" "heat shock protein 90-1" "ALD51960.1" "NbHsp90-1"
"1...523" "KR021366.1" 1 360 "CDS" "ATG8CL" "AMA19667.1" "NbATG8CL"
"1...524" "KR021365.1" 1 372 "CDS" "ATG8IL" "AMA19666.1" "NbATG8IL"
"1...525" "LC077857.1" 1 1872 "gene" "basic helix-loop-helix transcription factor" NA "NbAN1"
"1...526" "KT936526.1" 1 2661 "CDS" "NRC2b" "ALQ52762.1" "NbNRC2b"
"1...527" "KT936525.1" 1 2661 "CDS" "NRC2a" "ALQ52761.1" "NbNRC2a"
"1...528" "LN877373.1" 1 543 "gene" "ribulose-1,5-bisphosphate carboxylase/oxygenase small chain (Rubisco)" NA "rbcS"
"1...529" "KP979608.1" 1 1242 "gene" "eukaryotic translation initiation factor 4A" "ALJ94093.1" "eIF4A"
"1...530" "AB711136.1" 1 1881 "gene" NA NA "NbWRKY15"
"2...531" "AB711136.1" 8 1387 "CDS" "transcription factor" NA NA
"1...532" "AB711135.1" 1 1855 "gene" NA NA "NbWRKY14"
"2...533" "AB711135.1" 192 1730 "CDS" "transcription factor" NA NA
"1...534" "AB711134.1" 1 2124 "gene" NA NA "NbWRKY13"
"2...535" "AB711134.1" 545 1834 "CDS" "transcription factor" NA NA
"1...536" "AB711133.1" 1 1833 "gene" NA NA "NbWRKY12"
"2...537" "AB711133.1" 221 1798 "CDS" "transcription factor" NA NA
"1...538" "AB711132.1" 1 2413 "gene" NA NA "NbWRKY11"
"2...539" "AB711132.1" 142 2337 "CDS" "transcription factor" NA NA
"1...540" "AB711131.1" 1 2194 "gene" NA NA "NbWRKY10"
"2...541" "AB711131.1" 1 1830 "CDS" "transcription factor" NA NA
"1...542" "AB711130.1" 1 1938 "gene" NA NA "NbWRKY9"
"2...543" "AB711130.1" 97 1770 "CDS" "transcription factor" NA NA
"1...544" "KF998581.1" 1 1905 "gene" "leucine-rich repeat receptor-like kinase" "AHW85126.1" "SOBIR1"
"1...545" "KT347169.1" 1 2952 "gene" "chromomethylase 2" "ALF12303.1" "CMT2"
"1...546" "LC033852.1" 1 2493 "gene" "phospholipase D beta" NA "NbPLD_beta"
"1...547" "LC033851.1" 1 2427 "gene" "phospholipase D alpha" NA "NbPLD_alpha"
"1...548" "KF367456.1" 1 894 "gene" "mitochondrial alternative oxidase 1b" "AGZ61935.1" "AOX1b"
"1...549" "KF367455.1" 1 1059 "gene" "mitochondrial alternative oxidase 1a" "AGZ61934.1" "AOX1a"
"1...550" "KM411353.1" 1 598 "gene" "RNA-directed RNA polymerase 1" "ALB01118.1" "RdRp1"
"1...551" "KM411352.1" 1 641 "gene" "RNA-directed RNA polymerase 1" "ALB01117.1" "RdRp1"
"1...552" "KM411351.1" 1 641 "gene" "RNA-directed RNA polymerase 1" "ALB01116.1" "RdRp1"
"1...553" "KM411349.1" 1 641 "gene" "RNA-directed RNA polymerase 1" "ALB01114.1" "RdRp1"
"1...554" "KM411346.1" 1 279 "gene" "RNA-directed RNA polymerase 1" "ALB01111.1" "RdRp1"
"1...555" "KM411341.1" 1 279 "gene" "RNA-directed RNA polymerase 1" "ALB01106.1" "RdRp1"
"1...556" "KM411325.1" 1 279 "gene" "RNA-directed RNA polymerase 1" "ALB01090.1" "RdRp1"
"1...557" "KM411321.1" 1 279 "gene" "RNA-directed RNA polymerase 1" "ALB01086.1" "RdRp1"
"1...558" "KM411319.1" 1 279 "gene" "RNA-directed RNA polymerase 1" "ALB01084.1" "RdRp1"
"1...559" "KM411318.1" 1 279 "gene" "RNA-directed RNA polymerase 1" "ALB01083.1" "RdRp1"
"1...560" "KM411315.1" 1 279 "gene" "RNA-directed RNA polymerase 1" "ALB01080.1" "RdRp1"
"1...561" "KM411314.1" 1 279 "gene" "RNA-directed RNA polymerase 1" "ALB01079.1" "RdRp1"
"1...562" "KM411313.1" 1 279 "gene" "RNA-directed RNA polymerase 1" "ALB01078.1" "RdRp1"
"1...563" "KM411312.1" 1 279 "gene" "RNA-directed RNA polymerase 1" "ALB01077.1" "RdRp1"
